ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated,date
20906,55219,49437,2430,57649,51867,2021-12-17
20878,51455,46192,3384,54839,49576,2021-12-17
20874,44995,40386,3401,48396,43787,2021-12-17
21234,42914,39451,2995,45909,42446,2021-12-17
20904,42824,38176,1661,44485,39837,2021-12-17
20854,42163,36842,2121,44284,38963,2021-12-17
20850,40199,36022,2515,42714,38537,2021-12-17
21122,37607,34616,3124,40731,37740,2021-12-17
21117,38631,35239,2356,40987,37595,2021-12-17
20902,39720,35171,1916,41636,37087,2021-12-17
21043,38147,34653,2149,40296,36802,2021-12-17
21228,36733,33864,2518,39251,36382,2021-12-17
21042,35776,32410,1993,37769,34403,2021-12-17
21224,34240,30480,3477,37717,33957,2021-12-17
20852,36282,31967,1889,38171,33856,2021-12-17
21044,33242,30397,1764,35006,32161,2021-12-17
21061,32683,29532,2607,35290,32139,2021-12-17
20774,34023,30216,1519,35542,31735,2021-12-17
21222,30679,27829,3497,34176,31326,2021-12-17
21093,31038,28471,1883,32921,30354,2021-12-17
21215,31626,28005,2009,33635,30014,2021-12-17
21740,27805,25029,4727,32532,29756,2021-12-17
20772,31494,28196,1413,32907,29609,2021-12-17
20910,31480,27816,1646,33126,29462,2021-12-17
21045,29993,27299,1704,31697,29003,2021-12-17
